seconds,unix_ms,sample_end_unix_ms,main_pid,main_present,vram_mib,rss_mib,fds,threads,gpu_error
-0.029,1789051929703,1789051929855,1150974,False,,,,,
0.471,1789051930203,1789051930300,1150974,True,59,237.453,78,18,
0.971,1789051930703,1789051930797,1150974,True,59,240.941,71,19,
1.471,1789051931203,1789051931296,1150974,True,59,240.898,71,17,
1.971,1789051931703,1789051931796,1150974,True,59,240.898,71,17,
2.472,1789051932204,1789051932306,1150974,True,60,241.242,71,18,
2.972,1789051932704,1789051932797,1150974,True,60,240.852,71,17,
3.472,1789051933204,1789051933296,1150974,True,60,240.852,71,17,
3.972,1789051933704,1789051933809,1150974,True,60,240.852,71,17,
4.472,1789051934204,1789051934304,1150974,True,60,240.852,71,17,
4.972,1789051934704,1789051934818,1150974,True,60,240.852,71,17,
5.472,1789051935204,1789051935310,1150974,True,60,240.852,71,17,
5.972,1789051935704,1789051935810,1150974,True,60,240.852,71,17,
6.472,1789051936204,1789051936310,1150974,True,60,240.852,71,17,
6.972,1789051936704,1789051936810,1150974,True,60,240.852,71,17,
7.472,1789051937204,1789051937344,1150974,True,60,240.852,71,17,
7.972,1789051937704,1789051937838,1150974,True,60,240.852,71,17,
8.472,1789051938204,1789051938332,1150974,True,60,252.391,78,56,
8.972,1789051938704,1789051938865,1150974,True,60,252.125,77,47,
9.473,1789051939205,1789051939333,1150974,True,60,252.125,77,47,
9.973,1789051939705,1789051939862,1150974,True,60,252.125,77,47,
10.473,1789051940205,1789051940335,1150974,True,60,252.125,77,47,
10.973,1789051940705,1789051940837,1150974,True,60,252.125,77,47,
11.473,1789051941205,1789051941336,1150974,True,60,252.328,79,48,
11.973,1789051941705,1789051941823,1150974,True,60,253.688,81,47,
12.473,1789051942205,1789051942296,1150974,True,604,473.449,150,57,
12.973,1789051942705,1789051942796,1150974,True,608,534.457,149,56,
13.473,1789051943205,1789051943295,1150974,True,608,531.809,149,56,
13.973,1789051943705,1789051943798,1150974,True,608,534.457,149,56,
14.473,1789051944205,1789051944299,1150974,True,608,531.809,149,56,
14.973,1789051944705,1789051944798,1150974,True,608,531.809,149,56,
15.473,1789051945205,1789051945298,1150974,True,608,526.586,149,56,
15.973,1789051945705,1789051945798,1150974,True,608,526.586,149,56,
16.473,1789051946205,1789051946299,1150974,True,608,526.586,149,56,
16.973,1789051946705,1789051946799,1150974,True,608,526.586,149,56,
17.473,1789051947205,1789051947299,1150974,True,608,526.586,149,56,
17.974,1789051947706,1789051947802,1150974,True,1111,574.938,171,62,
18.474,1789051948206,1789051948299,1150974,True,1142,633.707,183,62,
18.974,1789051948706,1789051948799,1150974,True,1142,631.059,183,62,
19.474,1789051949206,1789051949301,1150974,True,1142,633.707,183,62,
19.974,1789051949706,1789051949799,1150974,True,1142,631.059,183,62,
20.474,1789051950206,1789051950300,1150974,True,1142,633.707,183,62,
20.974,1789051950706,1789051950797,1150974,True,1142,633.707,183,62,
21.474,1789051951206,1789051951300,1150974,True,1142,634.258,183,62,
21.974,1789051951706,1789051951799,1150974,True,1142,631.688,183,62,
22.474,1789051952206,1789051952299,1150974,True,1142,634.336,183,62,
22.974,1789051952706,1789051952798,1150974,True,1142,631.594,183,62,
23.474,1789051953206,1789051953300,1150974,True,1142,633.242,183,62,
23.974,1789051953706,1789051953800,1150974,True,1142,630.121,183,45,
24.474,1789051954206,1789051954299,1150974,True,1142,630.121,183,45,
24.975,1789051954707,1789051954801,1150974,True,1142,632.047,183,76,
25.475,1789051955207,1789051955298,1150974,True,1142,630.453,183,76,
25.975,1789051955707,1789051955799,1150974,True,1677,735.082,217,80,
26.475,1789051956207,1789051956301,1150974,True,1677,739.824,217,80,
26.975,1789051956707,1789051956801,1150974,True,1677,737.176,217,80,
27.475,1789051957207,1789051957299,1150974,True,1677,739.699,217,80,
27.975,1789051957707,1789051957801,1150974,True,1677,737.051,217,80,
28.475,1789051958207,1789051958301,1150974,True,1677,737.051,217,80,
28.975,1789051958707,1789051958799,1150974,True,1677,729.117,217,80,
29.475,1789051959207,1789051959300,1150974,True,1677,731.117,217,80,
29.975,1789051959707,1789051959800,1150974,True,1677,731.117,217,80,
30.475,1789051960207,1789051960299,1150974,True,1677,731.117,217,80,
30.975,1789051960707,1789051960803,1150974,True,2207,811.977,250,86,
31.475,1789051961207,1789051961300,1150974,True,2211,840.0,251,86,
31.975,1789051961707,1789051961802,1150974,True,2211,837.352,251,86,
32.475,1789051962207,1789051962298,1150974,True,2211,840.0,251,86,
32.976,1789051962708,1789051962800,1150974,True,2211,837.227,251,86,
33.476,1789051963208,1789051963300,1150974,True,2211,839.887,251,86,
33.976,1789051963708,1789051963802,1150974,True,2211,839.887,251,86,
34.476,1789051964208,1789051964298,1150974,True,2211,839.887,251,86,
34.976,1789051964708,1789051964799,1150974,True,2211,839.887,251,86,
35.476,1789051965208,1789051965301,1150974,True,2211,831.941,251,86,
35.976,1789051965708,1789051965798,1150974,True,2211,831.941,251,86,
36.476,1789051966208,1789051966300,1150974,True,2211,831.941,251,86,
36.976,1789051966708,1789051966798,1150974,True,2731,916.375,284,92,
37.476,1789051967208,1789051967302,1150974,True,2745,945.117,285,92,
37.976,1789051967708,1789051967801,1150974,True,2745,939.82,285,92,
38.476,1789051968208,1789051968302,1150974,True,2745,939.82,282,91,
38.976,1789051968708,1789051968804,1150974,True,2745,939.82,282,91,
39.476,1789051969208,1789051969300,1150974,True,2745,939.82,282,91,
39.976,1789051969708,1789051969801,1150974,True,2745,939.82,282,91,
40.477,1789051970209,1789051970302,1150974,True,2745,939.707,282,79,
40.977,1789051970709,1789051970803,1150974,True,2745,939.707,282,79,
41.477,1789051971209,1789051971302,1150974,True,2745,939.707,282,79,
41.977,1789051971709,1789051971801,1150974,True,2745,939.707,282,79,
42.477,1789051972209,1789051972301,1150974,True,2745,939.707,279,78,
42.977,1789051972709,1789051972802,1150974,True,2745,939.707,279,78,
43.477,1789051973209,1789051973301,1150974,True,2745,939.707,279,78,
43.977,1789051973709,1789051973799,1150974,True,2745,939.707,279,78,
44.477,1789051974209,1789051974302,1150974,True,2745,939.707,279,78,
44.977,1789051974709,1789051974799,1150974,True,2745,939.707,279,78,
45.477,1789051975209,1789051975301,1150974,True,2745,934.41,279,78,
45.977,1789051975709,1789051975802,1150974,True,2745,934.41,279,78,
46.477,1789051976209,1789051976301,1150974,True,2745,940.648,279,110,
46.977,1789051976709,1789051976801,1150974,True,2745,940.648,279,108,
47.477,1789051977209,1789051977301,1150974,True,2745,940.648,279,108,
47.977,1789051977709,1789051977804,1150974,True,2745,942.68,279,110,
48.477,1789051978209,1789051978305,1150974,True,2745,945.543,279,109,
48.978,1789051978710,1789051978803,1150974,True,2745,942.285,279,109,
49.478,1789051979210,1789051979303,1150974,True,2745,943.914,279,109,
49.978,1789051979710,1789051979804,1150974,True,2745,945.574,279,109,
50.478,1789051980210,1789051980301,1150974,True,2745,942.254,279,109,
50.978,1789051980710,1789051980803,1150974,True,2745,943.914,279,109,
51.478,1789051981210,1789051981303,1150974,True,2745,939.637,279,109,
51.978,1789051981710,1789051981802,1150974,True,2745,941.266,279,109,
52.478,1789051982210,1789051982304,1150974,True,2745,941.266,279,108,
52.978,1789051982710,1789051982803,1150974,True,2745,936.961,279,109,
53.478,1789051983210,1789051983304,1150974,True,2745,938.621,279,109,
53.978,1789051983710,1789051983803,1150974,True,2745,940.25,279,109,
54.478,1789051984210,1789051984302,1150974,True,2745,938.621,279,109,
54.978,1789051984710,1789051984815,1150974,True,2745,938.621,279,108,
55.478,1789051985210,1789051985315,1150974,True,2745,938.621,279,108,
55.978,1789051985710,1789051985818,1150974,True,2745,938.621,279,108,
56.479,1789051986211,1789051986318,1150974,True,2745,938.621,279,108,
56.979,1789051986711,1789051986842,1150974,True,2745,938.621,279,108,
57.479,1789051987211,1789051987342,1150974,True,2745,938.621,279,108,
57.979,1789051987711,1789051987842,1150974,True,2745,938.621,279,108,
58.479,1789051988211,1789051988342,1150974,True,2745,938.621,279,108,
58.979,1789051988711,1789051988842,1150974,True,2745,938.621,279,108,
59.479,1789051989211,1789051989345,1150974,True,2745,938.621,279,108,
59.979,1789051989711,1789051989846,1150974,True,2745,938.621,279,108,
60.479,1789051990211,1789051990343,1150974,True,2745,935.332,279,108,
60.979,1789051990711,1789051990866,1150974,True,2745,935.332,279,108,
61.479,1789051991211,1789051991362,1150974,True,2745,935.332,279,108,
61.979,1789051991711,1789051991982,1150974,True,2745,935.332,279,108,
62.479,1789051992211,1789051992318,1150974,True,2745,935.332,279,108,
62.979,1789051992711,1789051992815,1150974,True,2745,935.332,279,108,
63.479,1789051993211,1789051993319,1150974,True,2745,938.52,279,108,
63.98,1789051993712,1789051993818,1150974,True,2745,938.52,279,108,
64.48,1789051994212,1789051994318,1150974,True,2745,936.926,279,108,
64.98,1789051994712,1789051994819,1150974,True,2745,938.586,279,109,
65.48,1789051995212,1789051995319,1150974,True,2745,940.215,279,109,
65.98,1789051995712,1789051995819,1150974,True,2745,936.992,279,109,
66.48,1789051996212,1789051996321,1150974,True,2745,938.621,279,109,
66.98,1789051996712,1789051996821,1150974,True,2745,940.281,279,109,
67.48,1789051997212,1789051997360,1150974,True,2745,940.281,279,108,
67.98,1789051997712,1789051997844,1150974,True,2745,936.961,279,109,
68.48,1789051998212,1789051998343,1150974,True,2745,936.961,279,108,
68.98,1789051998712,1789051998844,1150974,True,2745,936.961,279,108,
69.48,1789051999212,1789051999344,1150974,True,2745,936.961,279,108,
69.98,1789051999712,1789051999843,1150974,True,2745,936.961,279,108,
70.48,1789052000212,1789052000349,1150974,True,2745,936.961,279,108,
70.981,1789052000713,1789052000877,1150974,True,2745,936.961,279,108,
71.481,1789052001213,1789052001342,1150974,True,2745,936.961,279,108,
71.981,1789052001713,1789052001860,1150974,True,2745,936.961,279,108,
72.481,1789052002213,1789052002513,1150974,True,2745,936.977,281,109,
72.981,1789052002713,1789052002816,1150974,True,2745,936.977,281,109,
73.481,1789052003213,1789052003318,1150974,True,2745,936.977,281,109,
73.981,1789052003713,1789052003813,1150974,True,2745,936.977,281,109,
74.481,1789052004213,1789052004316,1150974,True,2745,936.977,281,109,
74.981,1789052004713,1789052004818,1150974,True,2745,936.977,281,109,
75.481,1789052005213,1789052005318,1150974,True,2745,935.348,281,109,
75.981,1789052005713,1789052005818,1150974,True,2745,935.348,281,109,
76.481,1789052006213,1789052006316,1150974,True,2749,935.348,281,109,
