seconds,unix_ms,sample_end_unix_ms,pid,main_present,vram_mib,rss_mib,fds,threads,gpu_error
-0.029,1789052767515,1789052767622,1167281,False,,,,,
0.471,1789052768015,1789052768112,1167281,True,59,178.398,71,19,
0.971,1789052768515,1789052768608,1167281,True,59,178.703,71,17,
1.471,1789052769015,1789052769107,1167281,True,59,178.703,71,17,
1.971,1789052769515,1789052769609,1167281,True,59,178.453,71,17,
2.471,1789052770015,1789052770108,1167281,True,59,178.453,71,17,
2.971,1789052770515,1789052770608,1167281,True,59,178.453,71,17,
3.471,1789052771015,1789052771111,1167281,True,59,178.453,71,17,
3.971,1789052771515,1789052771608,1167281,True,59,178.453,71,17,
4.471,1789052772015,1789052772122,1167281,True,59,178.453,71,17,
4.971,1789052772515,1789052772623,1167281,True,60,183.836,71,51,
5.471,1789052773015,1789052773120,1167281,True,60,183.469,71,45,
5.972,1789052773516,1789052773622,1167281,True,60,183.809,71,45,
6.472,1789052774016,1789052774121,1167281,True,60,183.809,71,45,
6.972,1789052774516,1789052774621,1167281,True,60,183.809,71,45,
7.472,1789052775016,1789052775122,1167281,True,71,208.031,84,46,
7.972,1789052775516,1789052775607,1167281,True,608,412.438,143,55,
8.472,1789052776016,1789052776109,1167281,True,608,411.922,144,55,
8.972,1789052776516,1789052776607,1167281,True,608,415.594,143,54,
9.472,1789052777016,1789052777111,1167281,True,608,415.594,143,54,
9.972,1789052777516,1789052777609,1167281,True,608,412.945,143,54,
10.472,1789052778016,1789052778109,1167281,True,608,413.023,143,54,
10.972,1789052778516,1789052778609,1167281,True,608,413.023,143,54,
11.472,1789052779016,1789052779112,1167281,True,593,413.023,143,54,
11.972,1789052779516,1789052779609,1167281,True,75,338.426,111,49,
12.472,1789052780016,1789052780111,1167281,True,613,451.098,152,57,
12.972,1789052780516,1789052780610,1167281,True,613,453.84,152,57,
13.472,1789052781016,1789052781110,1167281,True,613,451.191,152,57,
13.972,1789052781516,1789052781608,1167281,True,613,451.191,152,57,
14.473,1789052782017,1789052782111,1167281,True,613,453.84,152,57,
14.973,1789052782517,1789052782609,1167281,True,613,453.84,152,57,
15.473,1789052783017,1789052783108,1167281,True,613,453.84,152,57,
15.973,1789052783517,1789052783609,1167281,True,613,448.555,152,57,
16.473,1789052784017,1789052784112,1167281,True,613,453.883,152,57,
16.973,1789052784517,1789052784609,1167281,True,613,451.109,152,57,
17.473,1789052785017,1789052785108,1167281,True,79,374.887,120,52,
17.973,1789052785517,1789052785608,1167281,True,79,374.887,120,52,
18.473,1789052786017,1789052786111,1167281,True,617,491.434,161,60,
18.973,1789052786517,1789052786610,1167281,True,617,488.879,161,60,
19.473,1789052787017,1789052787111,1167281,True,617,491.527,161,60,
19.973,1789052787517,1789052787610,1167281,True,617,490.879,161,60,
20.473,1789052788017,1789052788109,1167281,True,617,493.32,161,49,
20.973,1789052788517,1789052788611,1167281,True,617,493.395,161,49,
21.473,1789052789017,1789052789110,1167281,True,617,490.777,161,49,
21.973,1789052789517,1789052789611,1167281,True,617,493.426,161,49,
22.474,1789052790018,1789052790109,1167281,True,617,490.777,161,49,
22.974,1789052790518,1789052790611,1167281,True,84,417.133,129,43,
23.474,1789052791018,1789052791121,1167281,True,88,417.133,129,43,
23.974,1789052791518,1789052791610,1167281,True,622,531.152,170,51,
24.474,1789052792018,1789052792111,1167281,True,622,527.473,170,51,
24.974,1789052792518,1789052792610,1167281,True,622,527.473,170,51,
25.474,1789052793018,1789052793112,1167281,True,622,522.176,172,51,
25.974,1789052793518,1789052793613,1167281,True,622,530.121,170,51,
26.474,1789052794018,1789052794112,1167281,True,88,451.266,138,46,
26.974,1789052794518,1789052794610,1167281,True,88,451.266,138,46,
27.474,1789052795018,1789052795111,1167281,True,88,451.266,138,46,
27.974,1789052795518,1789052795613,1167281,True,88,451.383,138,59,
28.474,1789052796018,1789052796122,1167281,True,88,451.383,138,58,
28.974,1789052796518,1789052796625,1167281,True,88,451.383,138,58,
29.474,1789052797018,1789052797126,1167281,True,88,451.391,138,58,
29.975,1789052797519,1789052797625,1167281,True,88,456.055,138,60,
30.475,1789052798019,1789052798146,1167281,True,88,452.441,138,60,
